Dealer Billing Statement for: April 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Fort Worth Dealership Acquisition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,Manufacturer Name,Plant Name,Invoice Date,Invoice Number,Interest Start Date,Maturity Date,Description,Type,Model Number,Serial No/VIN,Stock/Lease No,Original Amount,Beginning Balance,Advances,Last Advance Date,Principal Payments,Principal Adjustments,Monthly Activity,Ending Balance,Current Curtailments,Past Due Curtailments,Current Maturities,Past Due Maturities,Total Principal Due,Interest Amount,Prior Period Interest Billed Current Month,Flat Charges Amount,Item Fee Amount,Total Interest / Charges / Fees Due,Inception to Date Interest,Average Daily Billing Balance
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,4/9/2026,4229,4/9/2026,11/9/2027,2026 Acura ACURAMDXSHWDT,Automobile,ACURAMDXSHWDT,5J8YD8H80TL004229,,"$72,597.30 ",$0.00 ,"$72,597.30 ",4/9/2026,$0.00 ,$0.00 ,"$72,597.30 ","$72,597.30 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$220.26 ,$0.00 ,$0.00 ,$0.00 ,$220.26 ,$220.26 ,"$53,238.02 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,1/30/2026,4258,1/30/2026,8/30/2027,2026 Acura ACURAMDXTE,Automobile,ACURAMDXTE,5J8YD9H43TL004258,A7897,"$55,897.60 ","$55,897.60 ",$0.00 ,,"($55,897.60)",$0.00 ,"($55,897.60)",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$15.42 ,$0.00 ,$0.00 ,$0.00 ,$15.42 ,$486.24 ,"$3,726.51 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,4/15/2026,4302,4/15/2026,11/15/2027,2026 Acura ACURAMDXSHWDT,Automobile,ACURAMDXSHWDT,5J8YD8H86TL004302,,"$73,162.50 ",$0.00 ,"$73,162.50 ",4/15/2026,$0.00 ,$0.00 ,"$73,162.50 ","$73,162.50 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$161.44 ,$0.00 ,$0.00 ,$0.00 ,$161.44 ,$161.44 ,"$39,020.00 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,4/15/2026,4304,4/15/2026,11/15/2027,2026 Acura ACURAMDXSHWDT,Automobile,ACURAMDXSHWDT,5J8YD8H8XTL004304,,"$73,162.50 ",$0.00 ,"$73,162.50 ",4/15/2026,$0.00 ,$0.00 ,"$73,162.50 ","$73,162.50 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$161.44 ,$0.00 ,$0.00 ,$0.00 ,$161.44 ,$161.44 ,"$39,020.00 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,4/20/2026,4434,4/20/2026,11/20/2027,2026 Acura ACURAMDXSHWDT,Automobile,ACURAMDXSHWDT,5J8YD8H81TL004434,,"$73,162.50 ",$0.00 ,"$73,162.50 ",4/20/2026,$0.00 ,$0.00 ,"$73,162.50 ","$73,162.50 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$110.99 ,$0.00 ,$0.00 ,$0.00 ,$110.99 ,$110.99 ,"$26,826.25 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,2/26/2026,4687,2/26/2026,9/26/2027,2026 Acura ACURAMDXTE,Automobile,ACURAMDXTE,5J8YD9H44TL004687,A7983,"$55,897.60 ","$55,897.60 ",$0.00 ,,"($55,897.60)",$0.00 ,"($55,897.60)",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$100.22 ,$0.00 ,$0.00 ,$0.00 ,$100.22 ,$362.50 ,"$24,222.29 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,2/25/2026,4910,2/25/2026,9/25/2027,2026 Acura ACURAMDXTE,Automobile,ACURAMDXTE,5J8YD9H43TL004910,,"$55,897.60 ","$55,897.60 ",$0.00 ,,$0.00 ,$0.00 ,$0.00 ,"$55,897.60 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$231.27 ,$0.00 ,$0.00 ,$0.00 ,$231.27 ,$501.27 ,"$55,897.60 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,3/2/2026,5108,3/2/2026,10/2/2027,2026 Acura ACURAMDXTE,Automobile,ACURAMDXTE,5J8YD9H40TL005108,A7999,"$55,332.40 ","$55,332.40 ",$0.00 ,,"($55,332.40)",$0.00 ,"($55,332.40)",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$91.57 ,$0.00 ,$0.00 ,$0.00 ,$91.57 ,$320.63 ,"$22,132.96 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,3/17/2026,5348,3/17/2026,10/17/2027,2026 Acura ACURAMDXTE,Automobile,ACURAMDXTE,5J8YD9H49TL005348,A8051,"$55,897.60 ","$55,897.60 ",$0.00 ,,"($55,897.60)",$0.00 ,"($55,897.60)",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$38.54 ,$0.00 ,$0.00 ,$0.00 ,$38.54 ,$154.24 ,"$9,316.27 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,3/24/2026,5369,3/24/2026,10/24/2027,2026 Acura ACURAMDX,Automobile,ACURAMDX,5J8YD9H37TL005369,A8074,"$52,520.20 ","$52,520.20 ",$0.00 ,,"($52,520.20)",$0.00 ,"($52,520.20)",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$86.92 ,$0.00 ,$0.00 ,$0.00 ,$86.92 ,$144.90 ,"$21,008.08 "
