Dealer Billing Statement for: March 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Fort Worth Dealership Acquisition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,Manufacturer Name,Plant Name,Invoice Date,Invoice Number,Interest Start Date,Maturity Date,Description,Type,Model Number,Serial No/VIN,Stock/Lease No,Original Amount,Beginning Balance,Advances,Last Advance Date,Principal Payments,Principal Adjustments,Monthly Activity,Ending Balance,Current Curtailments,Past Due Curtailments,Current Maturities,Past Due Maturities,Total Principal Due,Interest Amount,Prior Period Interest Billed Current Month,Flat Charges Amount,Item Fee Amount,Total Interest / Charges / Fees Due,Inception to Date Interest,Average Daily Billing Balance
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,10/21/2025,3698,10/21/2025,5/21/2027,2026 Acura ACURAINTEGA-S,Automobile,ACURAINTEGA-S,19UDE4H32TA003698,,"$36,354.90 ","$36,354.90 ",$0.00 ,,$0.00 ,$0.00 ,$0.00 ,"$36,354.90 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$155.52 ,$0.00 ,$0.00 ,$0.00 ,$155.52 ,$835.49 ,"$36,354.90 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,10/21/2025,3774,10/21/2025,5/21/2027,2026 Acura ACURAINTEGA-S,Automobile,ACURAINTEGA-S,19UDE4H60TA003774,,"$39,403.00 ","$39,403.00 ",$0.00 ,,"($39,403.00)",$0.00 ,"($39,403.00)",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$130.50 ,$0.00 ,$0.00 ,$0.00 ,$130.50 ,$867.48 ,"$30,505.55 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,3/24/2026,3836,3/24/2026,10/24/2027,2026 Acura ACURAMDXSHWDT,Automobile,ACURAMDXSHWDT,5J8YD8H85TL003836,,"$73,162.50 ",$0.00 ,"$73,162.50 ",3/24/2026,$0.00 ,$0.00 ,"$73,162.50 ","$73,162.50 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$80.77 ,$0.00 ,$0.00 ,$0.00 ,$80.77 ,$80.77 ,"$18,880.65 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,1/22/2026,3976,1/22/2026,8/22/2027,2026 Acura ACURAMDXTE,Automobile,ACURAMDXTE,5J8YD9H46TL003976,,"$55,897.60 ","$55,897.60 ",$0.00 ,,$0.00 ,$0.00 ,$0.00 ,"$55,897.60 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$239.12 ,$0.00 ,$0.00 ,$0.00 ,$239.12 ,$532.92 ,"$55,897.60 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,12/15/2025,4108,12/15/2025,7/15/2027,2026 Acura ACURARDXSHWDA,Automobile,ACURARDXSHWDA,5J8TC2H69TL004108,A7803,"$50,086.20 ","$50,086.20 ",$0.00 ,,"($50,086.20)",$0.00 ,"($50,086.20)",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$55.30 ,$0.00 ,$0.00 ,$0.00 ,$55.30 ,$587.22 ,"$12,925.47 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,1/21/2026,4126,1/21/2026,8/21/2027,2026 Acura ACURAMDXTE,Automobile,ACURAMDXTE,5J8YD9H48TL004126,,"$55,897.60 ","$55,897.60 ",$0.00 ,,$0.00 ,$0.00 ,$0.00 ,"$55,897.60 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$239.12 ,$0.00 ,$0.00 ,$0.00 ,$239.12 ,$540.68 ,"$55,897.60 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,1/21/2026,4129,1/21/2026,8/21/2027,2026 Acura ACURAMDXTE,Automobile,ACURAMDXTE,5J8YD9H43TL004129,A7884,"$55,897.60 ","$55,897.60 ",$0.00 ,,"($55,897.60)",$0.00 ,"($55,897.60)",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$30.86 ,$0.00 ,$0.00 ,$0.00 ,$30.86 ,$332.42 ,"$7,212.59 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,1/30/2026,4258,1/30/2026,8/30/2027,2026 Acura ACURAMDXTE,Automobile,ACURAMDXTE,5J8YD9H43TL004258,,"$55,897.60 ","$55,897.60 ",$0.00 ,,$0.00 ,$0.00 ,$0.00 ,"$55,897.60 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$239.12 ,$0.00 ,$0.00 ,$0.00 ,$239.12 ,$470.82 ,"$55,897.60 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,2/26/2026,4687,2/26/2026,9/26/2027,2026 Acura ACURAMDXTE,Automobile,ACURAMDXTE,5J8YD9H44TL004687,,"$55,897.60 ","$55,897.60 ",$0.00 ,,$0.00 ,$0.00 ,$0.00 ,"$55,897.60 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$239.12 ,$0.00 ,$0.00 ,$0.00 ,$239.12 ,$262.28 ,"$55,897.60 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,2/25/2026,4910,2/25/2026,9/25/2027,2026 Acura ACURAMDXTE,Automobile,ACURAMDXTE,5J8YD9H43TL004910,,"$55,897.60 ","$55,897.60 ",$0.00 ,,$0.00 ,$0.00 ,$0.00 ,"$55,897.60 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$239.12 ,$0.00 ,$0.00 ,$0.00 ,$239.12 ,$270.00 ,"$55,897.60 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,2/25/2026,4999,2/25/2026,9/25/2027,2026 Acura ACURAMDXTE,Automobile,ACURAMDXTE,5J8YD9H41TL004999,A7974,"$55,897.60 ","$55,897.60 ",$0.00 ,,"($55,897.60)",$0.00 ,"($55,897.60)",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$231.41 ,$0.00 ,$0.00 ,$0.00 ,$231.41 ,$262.29 ,"$54,094.45 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,11/4/2025,5064,11/4/2025,6/4/2027,2026 Acura ACURAINTEGA-S,Automobile,ACURAINTEGA-S,19UDE4H61TA005064,,"$39,403.00 ","$39,403.00 ",$0.00 ,,"($39,403.00)",$0.00 ,"($39,403.00)",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$130.50 ,$0.00 ,$0.00 ,$0.00 ,$130.50 ,$784.36 ,"$30,505.55 "
