Dealer Billing Statement for: February 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Fort Worth Dealership Acquisition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,Manufacturer Name,Plant Name,Invoice Date,Invoice Number,Interest Start Date,Maturity Date,Description,Type,Model Number,Serial No/VIN,Stock/Lease No,Original Amount,Beginning Balance,Advances,Last Advance Date,Principal Payments,Principal Adjustments,Monthly Activity,Ending Balance,Current Curtailments,Past Due Curtailments,Current Maturities,Past Due Maturities,Total Principal Due,Interest Amount,Prior Period Interest Billed Current Month,Flat Charges Amount,Item Fee Amount,Total Interest / Charges / Fees Due,Inception to Date Interest,Average Daily Billing Balance
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,10/6/2025,2567,10/6/2025,5/6/2027,2026 Acura ACURAINTEGA-S,Automobile,ACURAINTEGA-S,19UDE4H34TA002567,,"$36,354.90 ","$36,354.90 ",$0.00 ,,$0.00 ,$0.00 ,$0.00 ,"$36,354.90 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$140.60 ,$0.00 ,$0.00 ,$0.00 ,$140.60 ,$762.28 ,"$36,354.90 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,11/25/2025,2715,11/25/2025,6/25/2027,2026 Acura ACURARDXSHWDA,Automobile,ACURARDXSHWDA,5J8TC2H69TL002715,,"$50,086.20 ","$50,086.20 ",$0.00 ,,"($50,086.20)",$0.00 ,"($50,086.20)",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$172.96 ,$0.00 ,$0.00 ,$0.00 ,$172.96 ,$656.04 ,"$44,719.82 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,11/4/2025,2881,11/4/2025,6/4/2027,2026 Acura ACURAMDXTE,Automobile,ACURAMDXTE,5J8YD9H41TL002881,,"$55,797.60 ","$55,797.60 ",$0.00 ,,"($55,797.60)",$0.00 ,"($55,797.60)",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$192.67 ,$0.00 ,$0.00 ,$0.00 ,$192.67 ,$902.83 ,"$49,819.29 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,8/7/2025,2949,8/7/2025,3/7/2027,2025 Acura ACURAINTEGTYP,Automobile,ACURAINTEGTYP,19UDE5G94SA002949,,"$52,449.20 ","$52,449.20 ",$0.00 ,,$0.00 ,$0.00 ,$0.00 ,"$52,449.20 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$202.84 ,$0.00 ,$0.00 ,$0.00 ,$202.84 ,"$1,589.27 ","$52,449.20 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,8/5/2025,3003,8/5/2025,3/5/2027,2025 Acura ACURAINTEGTYP,Automobile,ACURAINTEGTYP,19UDE5G94SA003003,,"$52,449.20 ","$52,449.20 ",$0.00 ,,$0.00 ,$0.00 ,$0.00 ,"$52,449.20 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$202.84 ,$0.00 ,$0.00 ,$0.00 ,$202.84 ,"$1,605.75 ","$52,449.20 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,8/5/2025,3006,8/5/2025,3/5/2027,2025 Acura ACURAINTEGTYP,Automobile,ACURAINTEGTYP,19UDE5G9XSA003006,,"$52,449.20 ","$52,449.20 ",$0.00 ,,$0.00 ,$0.00 ,$0.00 ,"$52,449.20 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$202.84 ,$0.00 ,$0.00 ,$0.00 ,$202.84 ,"$1,605.75 ","$52,449.20 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,2/17/2026,3006,2/17/2026,9/17/2027,2026 Acura ACURAMDXSHWDT,Automobile,ACURAMDXSHWDT,5J8YD8H88TL003006,,"$73,162.50 ",$0.00 ,"$73,162.50 ",2/17/2026,$0.00 ,$0.00 ,"$73,162.50 ","$73,162.50 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$121.24 ,$0.00 ,$0.00 ,$0.00 ,$121.24 ,$121.24 ,"$31,355.36 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,2/25/2026,3015,2/25/2026,9/25/2027,2026 Acura ACURAMDXSHWDT,Automobile,ACURAMDXSHWDT,5J8YD8H89TL003015,,"$73,162.50 ",$0.00 ,"$73,162.50 ",2/25/2026,$0.00 ,$0.00 ,"$73,162.50 ","$73,162.50 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$40.41 ,$0.00 ,$0.00 ,$0.00 ,$40.41 ,$40.41 ,"$10,451.79 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,10/14/2025,3060,10/14/2025,5/14/2027,2026 Acura ACURAINTEG,Automobile,ACURAINTEG,19UDE4H29TA003060,A7678,"$34,336.00 ","$34,336.00 ",$0.00 ,,"($34,336.00)",$0.00 ,"($34,336.00)",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$47.44 ,$0.00 ,$0.00 ,$0.00 ,$47.44 ,$593.14 ,"$12,262.86 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,1/9/2026,3144,1/9/2026,8/9/2027,2026 Acura INETEGRA,Automobile,INETEGRA,19UDE4H60TA003144,A7681,"$38,827.00 ","$38,827.00 ",$0.00 ,,$0.00 ,$0.00 ,$0.00 ,"$38,827.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$150.16 ,$0.00 ,$0.00 ,$0.00 ,$150.16 ,$274.18 ,"$38,827.00 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,12/11/2025,3154,12/11/2025,7/11/2027,2026 Acura RDX,Automobile,RDX,5J8TC2H51TL003154,A7824,"$47,331.60 ","$47,331.60 ",$0.00 ,,"($47,331.60)",$0.00 ,"($47,331.60)",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$111.15 ,$0.00 ,$0.00 ,$0.00 ,$111.15 ,$457.97 ,"$28,737.04 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,12/16/2025,3173,12/16/2025,7/16/2027,2026 Acura ACURAMDX,Automobile,ACURAMDX,5J8YD9H32TL003173,,"$52,420.20 ","$52,420.20 ",$0.00 ,,$0.00 ,$0.00 ,$0.00 ,"$52,420.20 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$202.73 ,$0.00 ,$0.00 ,$0.00 ,$202.73 ,$549.17 ,"$52,420.20 "
