Dealer Billing Statement for: February 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hiley Cars Fort Worth, LP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,Manufacturer Name,Plant Name,Invoice Date,Invoice Number,Interest Start Date,Maturity Date,Description,Type,Model Number,Serial No/VIN,Stock/Lease No,Original Amount,Beginning Balance,Advances,Last Advance Date,Principal Payments,Principal Adjustments,Monthly Activity,Ending Balance,Current Curtailments,Past Due Curtailments,Current Maturities,Past Due Maturities,Total Principal Due,Interest Amount,Prior Period Interest Billed Current Month,Flat Charges Amount,Item Fee Amount,Total Interest / Charges / Fees Due,Inception to Date Interest,Average Daily Billing Balance
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,2/17/2026,74816,2/17/2026,9/17/2027,2026 Buick ENCORE,Automobile,ENCORE,KL4AMDSL5TB074816,B36283,"$29,955.41 ",$0.00 ,"$29,955.41 ",2/17/2026,"($29,955.41)",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$28.96 ,$0.00 ,$0.00 ,$0.00 ,$28.96 ,$28.96 ,"$7,488.85 "
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,2/17/2026,74830,2/17/2026,9/17/2027,2026 Buick ENCORE,Automobile,ENCORE,KL4AMDSLXTB074830,B36284,"$29,500.00 ",$0.00 ,"$29,500.00 ",2/17/2026,"($29,500.00)",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$40.74 ,$0.00 ,$0.00 ,$0.00 ,$40.74 ,$40.74 ,"$10,535.71 "
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,11/13/2025,81642,11/13/2025,6/13/2027,2026 Buick BUCK ENVIST,Automobile,BUCK ENVIST,KL47LAEP8TB081642,,"$27,560.45 ","$27,560.45 ",$0.00 ,,$0.00 ,$0.00 ,$0.00 ,"$27,560.45 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$106.59 ,$0.00 ,$0.00 ,$0.00 ,$106.59 ,$420.94 ,"$27,560.45 "
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,2/17/2026,82007,2/17/2026,9/17/2027,2026 Buick ENVISTA,Automobile,ENVISTA,KL47LCEP4TB082007,B36274,"$31,531.58 ",$0.00 ,"$31,531.58 ",2/17/2026,$0.00 ,$0.00 ,"$31,531.58 ","$31,531.58 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$52.25 ,$0.00 ,$0.00 ,$0.00 ,$52.25 ,$52.25 ,"$13,513.53 "
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,11/14/2025,83263,11/14/2025,6/14/2027,2026 Buick BUCK ENVIST,Automobile,BUCK ENVIST,KL47LBEP2TB083263,B35871,"$28,943.45 ","$28,943.45 ",$0.00 ,,"($28,943.45)",$0.00 ,"($28,943.45)",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$75.96 ,$0.00 ,$0.00 ,$0.00 ,$75.96 ,$401.85 ,"$19,640.20 "
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,2/17/2026,83784,2/17/2026,9/17/2027,2026 Buick ENCORE,Automobile,ENCORE,KL4AMESL0TB083784,B36285,"$32,521.20 ",$0.00 ,"$32,521.20 ",2/17/2026,$0.00 ,$0.00 ,"$32,521.20 ","$32,521.20 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$53.89 ,$0.00 ,$0.00 ,$0.00 ,$53.89 ,$53.89 ,"$13,937.66 "
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,2/17/2026,86459,2/17/2026,9/17/2027,2026 Buick ENCORE,Automobile,ENCORE,KL4AMBSL6TB086459,B36277,"$29,518.00 ",$0.00 ,"$29,518.00 ",2/17/2026,$0.00 ,$0.00 ,"$29,518.00 ","$29,518.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$48.91 ,$0.00 ,$0.00 ,$0.00 ,$48.91 ,$48.91 ,"$12,650.57 "
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,2/17/2026,86529,2/17/2026,9/17/2027,2026 Buick ENCORE,Automobile,ENCORE,KL4AMBSL1TB086529,B36275,"$29,518.00 ",$0.00 ,"$29,518.00 ",2/17/2026,$0.00 ,$0.00 ,"$29,518.00 ","$29,518.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$48.91 ,$0.00 ,$0.00 ,$0.00 ,$48.91 ,$48.91 ,"$12,650.57 "
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,2/17/2026,86707,2/17/2026,9/17/2027,2026 Buick ENCORE,Automobile,ENCORE,KL4AMBSLXTB086707,B36281,"$29,518.00 ",$0.00 ,"$29,518.00 ",2/17/2026,$0.00 ,$0.00 ,"$29,518.00 ","$29,518.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$48.91 ,$0.00 ,$0.00 ,$0.00 ,$48.91 ,$48.91 ,"$12,650.57 "
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,2/17/2026,88010,2/17/2026,9/17/2027,2026 Buick ENVISTA,Automobile,ENVISTA,KL47LCEP1TB088010,B36273,"$32,404.20 ",$0.00 ,"$32,404.20 ",2/17/2026,$0.00 ,$0.00 ,"$32,404.20 ","$32,404.20 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$53.70 ,$0.00 ,$0.00 ,$0.00 ,$53.70 ,$53.70 ,"$13,887.51 "
